123,Jan 8 2021,BOS,116,WAS,107
124,Jan 8 2021,NOP,110,CHO,118
125,Jan 8 2021,NYK,89,OKC,101
126,Jan 8 2021,HOU,132,ORL,90
127,Jan 8 2021,MEM,115,BRK,110
128,Jan 8 2021,MIL,118,UTA,131
129,Jan 8 2021,GSW,115,LAC,105
130,Jan 8 2021,LAL,117,CHI,115
131,Jan 8 2021,SAC,123,TOR,144
132,Jan 9 2021,PHI,103,DEN,115
133,Jan 9 2021,CHO,113,ATL,105
134,Jan 9 2021,IND,117,PHO,125
135,Jan 9 2021,WAS,124,MIA,128
136,Jan 9 2021,MIL,100,CLE,90
137,Jan 9 2021,MIN,122,SAS,125
138,Jan 9 2021,DAL,112,ORL,98
139,Jan 9 2021,SAC,99,ORL,125
140,Jan 10 2021,DET,86,UTA,96
141,Jan 10 2021,LAC,130,CHI,127
142,Jan 10 2021,BRK,116,OKC,129
143,Jan 10 2021,NYK,89,DEN,114
144,Jan 10 2021,HOU,102,LAL,120
145,Jan 10 2021,MIN,96,SAS,88
146,Jan 10 2021,GSW,106,TOR,105
147,Jan 11 2021,CHO,109,NYK,88
148,Jan 11 2021,CLE,91,MEM,101
149,Jan 11 2021,ORL,99,MIL,121
150,Jan 11 2021,WAS,128,PHO,107
151,Jan 11 2021,ATL,112,PHI,94
152,Jan 11 2021,ATL,112,TOR,111
153,Jan 11 2021,SAC,127,IND,122
154,Jan 12 2021,PHI,137,MIA,134
155,Jan 12 2021,BRK,122,DEN,116
156,Jan 12 2021,CLE,87,UTA,117
157,Jan 12 2021,HOU,100,LAL,117
158,Jan 12 2021,OKC,102,SAS,112
159,Jan 12 2021,GSW,95,IND,104
160,Jan 13 2021,CHO,93,DAL,104
161,Jan 13 2021,DET,101,MIL,110
162,Jan 13 2021,NYK,109,BRK,116
163,Jan 13 2021,MIN,107,MEM,118
164,Jan 13 2021,OKC,99,LAL,128
165,Jan 13 2021,LAC,111,NOP,106
166,Jan 13 2021,SAC,126,NOP,132
167,Jan 14 2021,PHI,125,MIA,108
168,Jan 14 2021,SAS,105,HOU,109
169,Jan 14 2021,TOR,111,CHO,108
170,Jan 14 2021,DEN,114,GSW,104
171,Jan 14 2021,DEN,87,IND,111
172,Jan 15 2021,BOS,124,ORL,97
173,Jan 15 2021,CLE,106,NYK,103
174,Jan 15 2021,MIL,112,DAL,109
175,Jan 15 2021,OKC,127,CHI,125
176,Jan 15 2021,UTA,116,ATL,92
177,Jan 15 2021,LAL,112,NOP,95
178,Jan 15 2021,SAC,100,LAC,138
179,Jan 16 2021,SAS,103,HOU,91
180,Jan 16 2021,BRK,122,ORL,115
181,Jan 16 2021,TOR,116,CHO,113
182,Jan 16 2021,MEM,106,PHI,104
183,Jan 16 2021,MIA,100,DET,120
184,Jan 16 2021,MIA,112,ATL,106
185,Jan 17 2021,BOS,75,NYK,105
186,Jan 17 2021,DAL,101,CHI,117
187,Jan 17 2021,DEN,105,UTA,109
188,Jan 17 2021,SAC,123,NOP,128
189,Jan 17 2021,LAC,129,IND,96
190,Jan 18 2021,NYK,91,ORL,84
191,Jan 18 2021,ATL,108,MIN,97
192,Jan 18 2021,ATL,104,SAS,125
193,Jan 18 2021,MEM,108,PHO,104
194,Jan 18 2021,BRK,125,MIL,123
195,Jan 18 2021,TOR,116,DAL,93
196,Jan 18 2021,CHI,125,HOU,120
197,Jan 18 2021,MIA,113,DET,107
198,Jan 18 2021,LAL,113,GSW,115
199,Jan 19 2021,DEN,119,OKC,101
200,Jan 19 2021,UTA,118,NOP,102
201,Jan 20 2021,CLE,147,BRK,135
202,Jan 20 2021,IND,112,DAL,124
203,Jan 20 2021,PHI,117,BOS,109
204,Jan 20 2021,ATL,123,DET,115
205,Jan 20 2021,TOR,102,MIA,111
206,Jan 20 2021,MIN,96,ORL,97
207,Jan 20 2021,HOU,103,PHO,109
208,Jan 20 2021,GSW,121,SAS,99
209,Jan 20 2021,LAC,115,SAC,96
210,Jan 21 2021,MIL,106,LAL,113
211,Jan 21 2021,GSW,104,NYK,119
212,Jan 21 2021,UTA,129,NOP,118
213,Jan 22 2021,CHO,110,CHI,123
214,Jan 22 2021,DET,102,HOU,103
215,Jan 22 2021,IND,120,ORL,118
216,Jan 22 2021,CLE,125,BRK,113
217,Jan 22 2021,PHI,122,BOS,110
218,Jan 22 2021,TOR,101,MIA,81
219,Jan 22 2021,MIN,98,ATL,116
220,Jan 22 2021,SAS,117,DAL,122
221,Jan 22 2021,LAC,120,OKC,106
222,Jan 22 2021,PHO,126,DEN,130
223,Jan 22 2021,SAC,103,NYK,94
224,Jan 23 2021,BRK,128,MIA,124
225,Jan 23 2021,DET,110,PHI,114
226,Jan 23 2021,MIN,120,NOP,110
227,Jan 23 2021,CHI,90,LAL,101
228,Jan 23 2021,DAL,108,HOU,133
229,Jan 23 2021,PHO,112,DEN,120
230,Jan 23 2021,UTA,127,GSW,108
231,Jan 24 2021,IND,102,TOR,107
232,Jan 24 2021,LAC,108,OKC,100
233,Jan 24 2021,BOS,141,CLE,103
234,Jan 24 2021,ORL,104,CHO,107
235,Jan 24 2021,MIL,129,ATL,115
236,Jan 24 2021,SAS,121,WAS,101
237,Jan 24 2021,SAS,116,NYK,113
238,Jan 25 2021,DET,119,PHI,104
239,Jan 25 2021,IND,129,TOR,114
240,Jan 25 2021,ORL,117,CHO,108
241,Jan 25 2021,BRK,98,MIA,85
242,Jan 25 2021,CLE,108,LAL,115
243,Jan 25 2021,DAL,113,DEN,117
244,Jan 25 2021,CHI,103,BOS,119
245,Jan 25 2021,GSW,130,MIN,108
246,Jan 25 2021,GSW,122,OKC,125
247,Jan 26 2021,ATL,108,LAC,99
248,Jan 26 2021,HOU,107,WAS,88
249,Jan 26 2021,UTA,108,NYK,94
250,Jan 27 2021,CHO,106,IND,116
251,Jan 27 2021,CLE,122,DET,107
252,Jan 27 2021,ORL,107,SAC,121
253,Jan 27 2021,ATL,128,BRK,132
254,Jan 27 2021,MIA,82,DEN,109
255,Jan 27 2021,PHI,107,LAL,106
256,Jan 27 2021,TOR,108,MIL,115
257,Jan 27 2021,SAS,110,BOS,106
258,Jan 27 2021,NOP,124,WAS,106
259,Jan 27 2021,PHO,97,OKC,102
260,Jan 27 2021,UTA,116,DAL,104
261,Jan 27 2021,GSW,123,MIN,111
262,Jan 28 2021,HOU,104,MIN,101
